"estudio" "nota"
"1" "Industrial" 4.81159836507903
"2" "Telematica" 3.82574415569256
"3" "Telematica" 3.51831768834237
"4" "Mates" 0
"5" "Telematica" 5.87967502425185
"6" "Informatica" 3.55404885866992
"7" "Mates" 2.22665402791722
"8" "Informatica" 3.36289057097655
"9" "Telematica" 7.11124147760377
"10" "Telematica" 3.03601350173657
"11" "Industrial" 6.81408502551886
"12" "Industrial" 3.00246754041805
"13" "Informatica" 3.13143752655172
"14" "Industrial" 2.96196588231769
"15" "Informatica" 5.90851376988285
"16" "Industrial" 2.37819347963426
"17" "Informatica" 5.1673463643563
"18" "Telematica" 4.77095641362674
"19" "Industrial" 2.84196385759315
"20" "Telematica" 4.18744992866066
"21" "Mates" 3.03518040944924
"22" "Informatica" 2.33691483765559
"23" "Telematica" 6.53357446659177
"24" "Telematica" 2.01166026089759
"25" "Informatica" 2.99238263465194
"26" "Informatica" 3.32120745628156
"27" "Mates" 3.0503471628377
"28" "Mates" 4.96731426713914
"29" "Mates" 3.48653717677638
"30" "Mates" 1.68175150818808
"31" "Industrial" 2.73534893020918
"32" "Telematica" 2.25701682214221
"33" "Telematica" 3.79117507620223
"34" "Industrial" 1.43621975617936
"35" "Telematica" 1.40854270332445
"36" "Industrial" 4.22835812793005
"37" "Informatica" 2.78428294390766
"38" "Mates" 5.9231459713601
"39" "Telematica" 3.65535451156166
"40" "Informatica" 4.99246319065393
"41" "Industrial" 4.34991895800549
"42" "Telematica" 5.44852370146803
"43" "Telematica" 5.79345868288916
"44" "Mates" 3.85466008601639
"45" "Telematica" 2.056897279751
"46" "Informatica" 2.46977732999276
"47" "Telematica" 0
"48" "Telematica" 6.59555393136528
"49" "Telematica" 1.88360889747512
"50" "Telematica" 1.38173894846188
"51" "Telematica" 2.54946919449474
"52" "Telematica" 9.2904649734784
"53" "Mates" 5.00811228928408
"54" "Industrial" 1.00743979841527
"55" "Mates" 6.55505229373937
"56" "Telematica" 2.57832679867997
"57" "Industrial" 3.4354399607779
"58" "Informatica" 5.59213745962775
"59" "Informatica" 1.95634373649114
"60" "Industrial" 2.84368163181577
"61" "Industrial" 3.29108056115422
"62" "Informatica" 3.29611589430162
"63" "Industrial" 4.77471299614162
"64" "Informatica" 6.3954692784948
"65" "Industrial" 4.60025258737549
"66" "Telematica" 3.41096789197086
"67" "Telematica" 2.90545955157615
"68" "Mates" 3.72742434684183
"69" "Industrial" 6.47118473941197
"70" "Mates" 5.98462995813718
"71" "Mates" 5.7468062868073
"72" "Mates" 1.02079881420945
"73" "Mates" 6.67812631397199
"74" "Mates" 4.51352894828386
"75" "Industrial" 2.62241050273092
"76" "Telematica" 5.73683402714716
"77" "Informatica" 4.19620787575558
"78" "Mates" 1.0511178420551
"79" "Industrial" 0.723105918995679
"80" "Informatica" 4.35972783547868
"81" "Mates" 3.41364467071987
"82" "Industrial" 4.06439298596424
"83" "Industrial" 4.89801178308359
"84" "Telematica" 6.02031999720934
"85" "Industrial" 3.34075542504916
"86" "Telematica" 4.56923151488722
"87" "Telematica" 0.885011988196976
"88" "Industrial" 4.39856427107482
"89" "Telematica" 2.56500969125078
"90" "Mates" 3.78331076255118
"91" "Mates" 3.08631448248394
"92" "Mates" 4.34807380660096
"93" "Mates" 4.77791957273318
"94" "Mates" 6.44947749650073
"95" "Informatica" 2.770846456437
"96" "Industrial" 3.14889609877931
"97" "Telematica" 3.63913834459697
"98" "Telematica" 5.39753663766002
"99" "Informatica" 2.96161424044004
"100" "Industrial" 5.38932814072366
"101" "Telematica" 4.83135606299913
"102" "Industrial" 4.7211022603788
"103" "Industrial" 0
"104" "Mates" 1.98783298825089
"105" "Industrial" 4.44057713794352
"106" "Mates" 2.61276475252197
"107" "Telematica" 4.75155899188028
"108" "Informatica" 2.3959890049128
"109" "Mates" 6.72788670809691
"110" "Informatica" 3.73558523285317
