"","Year","City","Sport","Discipline","NOC","Event","Event.gender","Medal"
"1",1924,"Chamonix","Skating","Figure skating","AUT","individual","M","Silver"
"2",1924,"Chamonix","Skating","Figure skating","AUT","individual","W","Gold"
"3",1924,"Chamonix","Skating","Figure skating","AUT","pairs","X","Gold"
"4",1924,"Chamonix","Bobsleigh","Bobsleigh","BEL","four-man","M","Bronze"
"5",1924,"Chamonix","Ice Hockey","Ice Hockey","CAN","ice hockey","M","Gold"
"6",1924,"Chamonix","Biathlon","Biathlon","FIN","military patrol","M","Silver"
"7",1924,"Chamonix","Skating","Figure skating","FIN","pairs","X","Silver"
"8",1924,"Chamonix","Skating","Speed skating","FIN","10000m","M","Gold"
"9",1924,"Chamonix","Skating","Speed skating","FIN","10000m","M","Silver"
"10",1924,"Chamonix","Skating","Speed skating","FIN","1500m","M","Gold"
"11",1924,"Chamonix","Skating","Speed skating","FIN","5000m","M","Gold"
"12",1924,"Chamonix","Skating","Speed skating","FIN","5000m","M","Silver"
"13",1924,"Chamonix","Skating","Speed skating","FIN","500m","M","Bronze"
"14",1924,"Chamonix","Skating","Speed skating","FIN","combined (4 events)","M","Bronze"
"15",1924,"Chamonix","Skating","Speed skating","FIN","combined (4 events)","M","Gold"
"16",1924,"Chamonix","Skiing","Cross Country S","FIN","18km","M","Bronze"
"17",1924,"Chamonix","Biathlon","Biathlon","FRA","military patrol","M","Bronze"
"18",1924,"Chamonix","Curling","Curling","FRA","curling","M","Bronze"
"19",1924,"Chamonix","Skating","Figure skating","FRA","pairs","X","Bronze"
"20",1924,"Chamonix","Bobsleigh","Bobsleigh","GBR","four-man","M","Silver"
"21",1924,"Chamonix","Curling","Curling","GBR","curling","M","Gold"
"22",1924,"Chamonix","Ice Hockey","Ice Hockey","GBR","ice hockey","M","Bronze"
"23",1924,"Chamonix","Skating","Figure skating","GBR","individual","W","Bronze"
"24",1924,"Chamonix","Skating","Speed skating","NOR","10000m","M","Bronze"
"25",1924,"Chamonix","Skating","Speed skating","NOR","1500m","M","Bronze"
"26",1924,"Chamonix","Skating","Speed skating","NOR","1500m","M","Silver"
"27",1924,"Chamonix","Skating","Speed skating","NOR","5000m","M","Bronze"
"28",1924,"Chamonix","Skating","Speed skating","NOR","500m","M","Bronze"
"29",1924,"Chamonix","Skating","Speed skating","NOR","500m","M","Silver"
"30",1924,"Chamonix","Skating","Speed skating","NOR","combined (4 events)","M","Silver"
"31",1924,"Chamonix","Skiing","Cross Country S","NOR","18km","M","Gold"
"32",1924,"Chamonix","Skiing","Cross Country S","NOR","18km","M","Silver"
"33",1924,"Chamonix","Skiing","Cross Country S","NOR","50km","M","Bronze"
"34",1924,"Chamonix","Skiing","Cross Country S","NOR","50km","M","Gold"
"35",1924,"Chamonix","Skiing","Cross Country S","NOR","50km","M","Silver"
"36",1924,"Chamonix","Skiing","Nordic Combined","NOR","individual","M","Bronze"
"37",1924,"Chamonix","Skiing","Nordic Combined","NOR","individual","M","Gold"
"38",1924,"Chamonix","Skiing","Nordic Combined","NOR","individual","M","Silver"
"39",1924,"Chamonix","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Gold"
"40",1924,"Chamonix","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Silver"
"41",1924,"Chamonix","Biathlon","Biathlon","SUI","military patrol","M","Gold"
"42",1924,"Chamonix","Bobsleigh","Bobsleigh","SUI","four-man","M","Gold"
"43",1924,"Chamonix","Skating","Figure skating","SUI","individual","M","Bronze"
"44",1924,"Chamonix","Curling","Curling","SWE","curling","M","Silver"
"45",1924,"Chamonix","Skating","Figure skating","SWE","individual","M","Gold"
"46",1924,"Chamonix","Ice Hockey","Ice Hockey","USA","ice hockey","M","Silver"
"47",1924,"Chamonix","Skating","Figure skating","USA","individual","W","Silver"
"48",1924,"Chamonix","Skating","Speed skating","USA","500m","M","Gold"
"49",1924,"Chamonix","Skiing","Ski Jumping","USA","K90 individual (70m)","M","Bronze"
"50",1928,"St. Moritz","Skating","Figure skating","AUT","individual","M","Silver"
"51",1928,"St. Moritz","Skating","Figure skating","AUT","individual","W","Silver"
"52",1928,"St. Moritz","Skating","Figure skating","AUT","pairs","X","Bronze"
"53",1928,"St. Moritz","Skating","Figure skating","AUT","pairs","X","Silver"
"54",1928,"St. Moritz","Skating","Figure skating","BEL","individual","M","Bronze"
"55",1928,"St. Moritz","Ice Hockey","Ice Hockey","CAN","ice hockey","M","Gold"
"56",1928,"St. Moritz","Skating","Speed skating","FIN","1500m","M","Gold"
"57",1928,"St. Moritz","Skating","Speed skating","FIN","5000m","M","Silver"
"58",1928,"St. Moritz","Skating","Speed skating","FIN","500m","M","Bronze"
"59",1928,"St. Moritz","Skating","Speed skating","FIN","500m","M","Gold"
"60",1928,"St. Moritz","Skating","Figure skating","FRA","pairs","X","Gold"
"61",1928,"St. Moritz","Bobsleigh","Skeleton","GBR","individual","M","Bronze"
"62",1928,"St. Moritz","Bobsleigh","Bobsleigh","GER","five-man","M","Bronze"
"63",1928,"St. Moritz","Skating","Figure skating","NOR","individual","W","Gold"
"64",1928,"St. Moritz","Skating","Speed skating","NOR","1500m","M","Bronze"
"65",1928,"St. Moritz","Skating","Speed skating","NOR","1500m","M","Silver"
"66",1928,"St. Moritz","Skating","Speed skating","NOR","5000m","M","Bronze"
"67",1928,"St. Moritz","Skating","Speed skating","NOR","5000m","M","Gold"
"68",1928,"St. Moritz","Skating","Speed skating","NOR","500m","M","Bronze"
"69",1928,"St. Moritz","Skating","Speed skating","NOR","500m","M","Gold"
"70",1928,"St. Moritz","Skiing","Cross Country S","NOR","18km","M","Bronze"
"71",1928,"St. Moritz","Skiing","Cross Country S","NOR","18km","M","Gold"
"72",1928,"St. Moritz","Skiing","Cross Country S","NOR","18km","M","Silver"
"73",1928,"St. Moritz","Skiing","Nordic Combined","NOR","individual","M","Bronze"
"74",1928,"St. Moritz","Skiing","Nordic Combined","NOR","individual","M","Gold"
"75",1928,"St. Moritz","Skiing","Nordic Combined","NOR","individual","M","Silver"
"76",1928,"St. Moritz","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Gold"
"77",1928,"St. Moritz","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Silver"
"78",1928,"St. Moritz","Ice Hockey","Ice Hockey","SUI","ice hockey","M","Bronze"
"79",1928,"St. Moritz","Ice Hockey","Ice Hockey","SWE","ice hockey","M","Silver"
"80",1928,"St. Moritz","Skating","Figure skating","SWE","individual","M","Gold"
"81",1928,"St. Moritz","Skiing","Cross Country S","SWE","50km","M","Bronze"
"82",1928,"St. Moritz","Skiing","Cross Country S","SWE","50km","M","Gold"
"83",1928,"St. Moritz","Skiing","Cross Country S","SWE","50km","M","Silver"
"84",1928,"St. Moritz","Skiing","Ski Jumping","TCH","K90 individual (70m)","M","Bronze"
"85",1928,"St. Moritz","Bobsleigh","Bobsleigh","USA","five-man","M","Gold"
"86",1928,"St. Moritz","Bobsleigh","Bobsleigh","USA","five-man","M","Silver"
"87",1928,"St. Moritz","Bobsleigh","Skeleton","USA","individual","M","Gold"
"88",1928,"St. Moritz","Bobsleigh","Skeleton","USA","individual","M","Silver"
"89",1928,"St. Moritz","Skating","Figure skating","USA","individual","W","Bronze"
"90",1928,"St. Moritz","Skating","Speed skating","USA","500m","M","Bronze"
"91",1932,"Lake Placid","Skating","Figure skating","AUT","individual","M","Gold"
"92",1932,"Lake Placid","Skating","Figure skating","AUT","individual","W","Silver"
"93",1932,"Lake Placid","Ice Hockey","Ice Hockey","CAN","ice hockey","M","Gold"
"94",1932,"Lake Placid","Skating","Figure skating","CAN","individual","M","Bronze"
"95",1932,"Lake Placid","Skating","Speed skating","CAN","10000m","M","Bronze"
"96",1932,"Lake Placid","Skating","Speed skating","CAN","1500m","M","Bronze"
"97",1932,"Lake Placid","Skating","Speed skating","CAN","1500m","M","Silver"
"98",1932,"Lake Placid","Skating","Speed skating","CAN","5000m","M","Bronze"
"99",1932,"Lake Placid","Skating","Speed skating","CAN","500m","M","Bronze"
"100",1932,"Lake Placid","Skiing","Cross Country S","FIN","18km","M","Bronze"
"101",1932,"Lake Placid","Skiing","Cross Country S","FIN","50km","M","Gold"
"102",1932,"Lake Placid","Skiing","Cross Country S","FIN","50km","M","Silver"
"103",1932,"Lake Placid","Skating","Figure skating","FRA","pairs","X","Gold"
"104",1932,"Lake Placid","Bobsleigh","Bobsleigh","GER","four-man","M","Bronze"
"105",1932,"Lake Placid","Ice Hockey","Ice Hockey","GER","ice hockey","M","Bronze"
"106",1932,"Lake Placid","Skating","Figure skating","HUN","pairs","X","Bronze"
"107",1932,"Lake Placid","Skating","Figure skating","NOR","individual","W","Gold"
"108",1932,"Lake Placid","Skating","Speed skating","NOR","10000m","M","Silver"
"109",1932,"Lake Placid","Skating","Speed skating","NOR","500m","M","Silver"
"110",1932,"Lake Placid","Skiing","Cross Country S","NOR","50km","M","Bronze"
"111",1932,"Lake Placid","Skiing","Nordic Combined","NOR","individual","M","Bronze"
"112",1932,"Lake Placid","Skiing","Nordic Combined","NOR","individual","M","Gold"
"113",1932,"Lake Placid","Skiing","Nordic Combined","NOR","individual","M","Silver"
"114",1932,"Lake Placid","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Bronze"
"115",1932,"Lake Placid","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Gold"
"116",1932,"Lake Placid","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Silver"
"117",1932,"Lake Placid","Bobsleigh","Bobsleigh","SUI","two-man","M","Silver"
"118",1932,"Lake Placid","Skating","Figure skating","SWE","individual","M","Silver"
"119",1932,"Lake Placid","Skiing","Cross Country S","SWE","18km","M","Gold"
"120",1932,"Lake Placid","Skiing","Cross Country S","SWE","18km","M","Silver"
"121",1932,"Lake Placid","Bobsleigh","Bobsleigh","USA","four-man","M","Gold"
"122",1932,"Lake Placid","Bobsleigh","Bobsleigh","USA","four-man","M","Silver"
"123",1932,"Lake Placid","Bobsleigh","Bobsleigh","USA","two-man","M","Bronze"
"124",1932,"Lake Placid","Bobsleigh","Bobsleigh","USA","two-man","M","Gold"
"125",1932,"Lake Placid","Ice Hockey","Ice Hockey","USA","ice hockey","M","Silver"
"126",1932,"Lake Placid","Skating","Figure skating","USA","individual","W","Bronze"
"127",1932,"Lake Placid","Skating","Figure skating","USA","pairs","X","Silver"
"128",1932,"Lake Placid","Skating","Speed skating","USA","10000m","M","Gold"
"129",1932,"Lake Placid","Skating","Speed skating","USA","1500m","M","Gold"
"130",1932,"Lake Placid","Skating","Speed skating","USA","5000m","M","Gold"
"131",1932,"Lake Placid","Skating","Speed skating","USA","5000m","M","Silver"
"132",1932,"Lake Placid","Skating","Speed skating","USA","500m","M","Gold"
"133",1936,"Garmisch-Partenkirchen","Skating","Figure skating","AUT","individual","M","Bronze"
"134",1936,"Garmisch-Partenkirchen","Skating","Figure skating","AUT","individual","M","Gold"
"135",1936,"Garmisch-Partenkirchen","Skating","Figure skating","AUT","pairs","X","Silver"
"136",1936,"Garmisch-Partenkirchen","Skating","Speed skating","AUT","10000m","M","Bronze"
"137",1936,"Garmisch-Partenkirchen","Ice Hockey","Ice Hockey","CAN","ice hockey","M","Silver"
"138",1936,"Garmisch-Partenkirchen","Skating","Speed skating","FIN","10000m","M","Silver"
"139",1936,"Garmisch-Partenkirchen","Skating","Speed skating","FIN","1500m","M","Bronze"
"140",1936,"Garmisch-Partenkirchen","Skating","Speed skating","FIN","5000m","M","Bronze"
"141",1936,"Garmisch-Partenkirchen","Skating","Speed skating","FIN","5000m","M","Silver"
"142",1936,"Garmisch-Partenkirchen","Skiing","Cross Country S","FIN","18km","M","Bronze"
"143",1936,"Garmisch-Partenkirchen","Skiing","Cross Country S","FIN","4x10km relay","M","Gold"
"144",1936,"Garmisch-Partenkirchen","Skiing","Alpine Skiing","FRA","alpine combined","M","Bronze"
"145",1936,"Garmisch-Partenkirchen","Bobsleigh","Bobsleigh","GBR","four-man","M","Bronze"
"146",1936,"Garmisch-Partenkirchen","Ice Hockey","Ice Hockey","GBR","ice hockey","M","Gold"
"147",1936,"Garmisch-Partenkirchen","Skating","Figure skating","GBR","individual","W","Silver"
"148",1936,"Garmisch-Partenkirchen","Skating","Figure skating","GER","individual","M","Silver"
"149",1936,"Garmisch-Partenkirchen","Skating","Figure skating","GER","pairs","X","Gold"
"150",1936,"Garmisch-Partenkirchen","Skiing","Alpine Skiing","GER","alpine combined","M","Gold"
"151",1936,"Garmisch-Partenkirchen","Skiing","Alpine Skiing","GER","alpine combined","M","Silver"
"152",1936,"Garmisch-Partenkirchen","Skiing","Alpine Skiing","GER","alpine combined","W","Gold"
"153",1936,"Garmisch-Partenkirchen","Skiing","Alpine Skiing","GER","alpine combined","W","Silver"
"154",1936,"Garmisch-Partenkirchen","Skating","Figure skating","HUN","pairs","X","Bronze"
"155",1936,"Garmisch-Partenkirchen","Skating","Figure skating","NOR","individual","W","Gold"
"156",1936,"Garmisch-Partenkirchen","Skating","Speed skating","NOR","10000m","M","Gold"
"157",1936,"Garmisch-Partenkirchen","Skating","Speed skating","NOR","1500m","M","Gold"
"158",1936,"Garmisch-Partenkirchen","Skating","Speed skating","NOR","1500m","M","Silver"
"159",1936,"Garmisch-Partenkirchen","Skating","Speed skating","NOR","5000m","M","Gold"
"160",1936,"Garmisch-Partenkirchen","Skating","Speed skating","NOR","500m","M","Gold"
"161",1936,"Garmisch-Partenkirchen","Skating","Speed skating","NOR","500m","M","Silver"
"162",1936,"Garmisch-Partenkirchen","Skiing","Alpine Skiing","NOR","alpine combined","W","Bronze"
"163",1936,"Garmisch-Partenkirchen","Skiing","Cross Country S","NOR","18km","M","Silver"
"164",1936,"Garmisch-Partenkirchen","Skiing","Cross Country S","NOR","4x10km relay","M","Silver"
"165",1936,"Garmisch-Partenkirchen","Skiing","Nordic Combined","NOR","individual","M","Bronze"
"166",1936,"Garmisch-Partenkirchen","Skiing","Nordic Combined","NOR","individual","M","Gold"
"167",1936,"Garmisch-Partenkirchen","Skiing","Nordic Combined","NOR","individual","M","Silver"
"168",1936,"Garmisch-Partenkirchen","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Bronze"
"169",1936,"Garmisch-Partenkirchen","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Gold"
"170",1936,"Garmisch-Partenkirchen","Bobsleigh","Bobsleigh","SUI","four-man","M","Gold"
"171",1936,"Garmisch-Partenkirchen","Bobsleigh","Bobsleigh","SUI","four-man","M","Silver"
"172",1936,"Garmisch-Partenkirchen","Bobsleigh","Bobsleigh","SUI","two-man","M","Silver"
"173",1936,"Garmisch-Partenkirchen","Skating","Figure skating","SWE","individual","W","Bronze"
"174",1936,"Garmisch-Partenkirchen","Skiing","Cross Country S","SWE","18km","M","Gold"
"175",1936,"Garmisch-Partenkirchen","Skiing","Cross Country S","SWE","4x10km relay","M","Bronze"
"176",1936,"Garmisch-Partenkirchen","Skiing","Cross Country S","SWE","50km","M","Bronze"
"177",1936,"Garmisch-Partenkirchen","Skiing","Cross Country S","SWE","50km","M","Gold"
"178",1936,"Garmisch-Partenkirchen","Skiing","Cross Country S","SWE","50km","M","Silver"
"179",1936,"Garmisch-Partenkirchen","Skiing","Ski Jumping","SWE","K90 individual (70m)","M","Silver"
"180",1936,"Garmisch-Partenkirchen","Bobsleigh","Bobsleigh","USA","two-man","M","Bronze"
"181",1936,"Garmisch-Partenkirchen","Bobsleigh","Bobsleigh","USA","two-man","M","Gold"
"182",1936,"Garmisch-Partenkirchen","Ice Hockey","Ice Hockey","USA","ice hockey","M","Bronze"
"183",1936,"Garmisch-Partenkirchen","Skating","Speed skating","USA","500m","M","Bronze"
"184",1948,"St. Moritz","Skating","Figure skating","AUT","individual","M","Bronze"
"185",1948,"St. Moritz","Skating","Figure skating","AUT","individual","W","Silver"
"186",1948,"St. Moritz","Skiing","Alpine Skiing","AUT","alpine combined","W","Bronze"
"187",1948,"St. Moritz","Skiing","Alpine Skiing","AUT","alpine combined","W","Gold"
"188",1948,"St. Moritz","Skiing","Alpine Skiing","AUT","downhill","M","Silver"
"189",1948,"St. Moritz","Skiing","Alpine Skiing","AUT","downhill","W","Bronze"
"190",1948,"St. Moritz","Skiing","Alpine Skiing","AUT","downhill","W","Silver"
"191",1948,"St. Moritz","Skiing","Alpine Skiing","AUT","slalom","W","Bronze"
"192",1948,"St. Moritz","Bobsleigh","Bobsleigh","BEL","four-man","M","Silver"
"193",1948,"St. Moritz","Skating","Figure skating","BEL","pairs","X","Gold"
"194",1948,"St. Moritz","Ice Hockey","Ice Hockey","CAN","ice hockey","M","Gold"
"195",1948,"St. Moritz","Skating","Figure skating","CAN","individual","W","Gold"
"196",1948,"St. Moritz","Skating","Figure skating","CAN","pairs","X","Bronze"
"197",1948,"St. Moritz","Skating","Speed skating","FIN","10000m","M","Bronze"
"198",1948,"St. Moritz","Skating","Speed skating","FIN","10000m","M","Silver"
"199",1948,"St. Moritz","Skiing","Cross Country S","FIN","4x10km relay","M","Silver"
"200",1948,"St. Moritz","Skiing","Cross Country S","FIN","50km","M","Bronze"
"201",1948,"St. Moritz","Skiing","Nordic Combined","FIN","individual","M","Gold"
"202",1948,"St. Moritz","Skiing","Nordic Combined","FIN","individual","M","Silver"
"203",1948,"St. Moritz","Skiing","Alpine Skiing","FRA","alpine combined","M","Bronze"
"204",1948,"St. Moritz","Skiing","Alpine Skiing","FRA","alpine combined","M","Gold"
"205",1948,"St. Moritz","Skiing","Alpine Skiing","FRA","downhill","M","Gold"
"206",1948,"St. Moritz","Skiing","Alpine Skiing","FRA","slalom","M","Bronze"
"207",1948,"St. Moritz","Skiing","Alpine Skiing","FRA","slalom","M","Silver"
"208",1948,"St. Moritz","Bobsleigh","Skeleton","GBR","individual","M","Bronze"
"209",1948,"St. Moritz","Skating","Figure skating","GBR","individual","W","Bronze"
"210",1948,"St. Moritz","Skating","Figure skating","HUN","pairs","X","Silver"
"211",1948,"St. Moritz","Bobsleigh","Skeleton","ITA","individual","M","Gold"
"212",1948,"St. Moritz","Skating","Speed skating","NOR","1500m","M","Bronze"
"213",1948,"St. Moritz","Skating","Speed skating","NOR","1500m","M","Gold"
"214",1948,"St. Moritz","Skating","Speed skating","NOR","5000m","M","Gold"
"215",1948,"St. Moritz","Skating","Speed skating","NOR","5000m","M","Silver"
"216",1948,"St. Moritz","Skating","Speed skating","NOR","500m","M","Gold"
"217",1948,"St. Moritz","Skating","Speed skating","NOR","500m","M","Silver"
"218",1948,"St. Moritz","Skiing","Cross Country S","NOR","4x10km relay","M","Bronze"
"219",1948,"St. Moritz","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Bronze"
"220",1948,"St. Moritz","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Gold"
"221",1948,"St. Moritz","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Silver"
"222",1948,"St. Moritz","Bobsleigh","Bobsleigh","SUI","two-man","M","Gold"
"223",1948,"St. Moritz","Bobsleigh","Bobsleigh","SUI","two-man","M","Silver"
"224",1948,"St. Moritz","Ice Hockey","Ice Hockey","SUI","ice hockey","M","Bronze"
"225",1948,"St. Moritz","Skating","Figure skating","SUI","individual","M","Silver"
"226",1948,"St. Moritz","Skiing","Alpine Skiing","SUI","alpine combined","M","Silver"
"227",1948,"St. Moritz","Skiing","Alpine Skiing","SUI","downhill","M","Bronze"
"228",1948,"St. Moritz","Skiing","Alpine Skiing","SUI","downhill","M","Bronze"
"229",1948,"St. Moritz","Skiing","Alpine Skiing","SUI","downhill","W","Gold"
"230",1948,"St. Moritz","Skiing","Alpine Skiing","SUI","slalom","M","Gold"
"231",1948,"St. Moritz","Skiing","Alpine Skiing","SUI","slalom","W","Silver"
"232",1948,"St. Moritz","Skating","Speed skating","SWE","10000m","M","Gold"
"233",1948,"St. Moritz","Skating","Speed skating","SWE","1500m","M","Silver"
"234",1948,"St. Moritz","Skating","Speed skating","SWE","5000m","M","Bronze"
"235",1948,"St. Moritz","Skiing","Cross Country S","SWE","18km","M","Bronze"
"236",1948,"St. Moritz","Skiing","Cross Country S","SWE","18km","M","Gold"
"237",1948,"St. Moritz","Skiing","Cross Country S","SWE","18km","M","Silver"
"238",1948,"St. Moritz","Skiing","Cross Country S","SWE","4x10km relay","M","Gold"
"239",1948,"St. Moritz","Skiing","Cross Country S","SWE","50km","M","Gold"
"240",1948,"St. Moritz","Skiing","Cross Country S","SWE","50km","M","Silver"
"241",1948,"St. Moritz","Skiing","Nordic Combined","SWE","individual","M","Bronze"
"242",1948,"St. Moritz","Ice Hockey","Ice Hockey","TCH","ice hockey","M","Silver"
"243",1948,"St. Moritz","Bobsleigh","Bobsleigh","USA","four-man","M","Bronze"
"244",1948,"St. Moritz","Bobsleigh","Bobsleigh","USA","four-man","M","Gold"
"245",1948,"St. Moritz","Bobsleigh","Bobsleigh","USA","two-man","M","Bronze"
"246",1948,"St. Moritz","Bobsleigh","Skeleton","USA","individual","M","Silver"
"247",1948,"St. Moritz","Skating","Figure skating","USA","individual","M","Gold"
"248",1948,"St. Moritz","Skating","Speed skating","USA","500m","M","Silver"
"249",1948,"St. Moritz","Skating","Speed skating","USA","500m","M","Silver"
"250",1948,"St. Moritz","Skiing","Alpine Skiing","USA","alpine combined","W","Silver"
"251",1948,"St. Moritz","Skiing","Alpine Skiing","USA","slalom","W","Gold"
"252",1952,"Oslo","Skating","Figure skating","AUT","individual","M","Silver"
"253",1952,"Oslo","Skiing","Alpine Skiing","AUT","downhill","M","Bronze"
"254",1952,"Oslo","Skiing","Alpine Skiing","AUT","downhill","M","Silver"
"255",1952,"Oslo","Skiing","Alpine Skiing","AUT","downhill","W","Gold"
"256",1952,"Oslo","Skiing","Alpine Skiing","AUT","giant slalom","M","Bronze"
"257",1952,"Oslo","Skiing","Alpine Skiing","AUT","giant slalom","M","Silver"
"258",1952,"Oslo","Skiing","Alpine Skiing","AUT","giant slalom","W","Silver"
"259",1952,"Oslo","Skiing","Alpine Skiing","AUT","slalom","M","Gold"
"260",1952,"Oslo","Ice Hockey","Ice Hockey","CAN","ice hockey","M","Gold"
"261",1952,"Oslo","Skating","Speed skating","CAN","500m","M","Bronze"
"262",1952,"Oslo","Skiing","Cross Country S","FIN","10km","W","Bronze"
"263",1952,"Oslo","Skiing","Cross Country S","FIN","10km","W","Gold"
"264",1952,"Oslo","Skiing","Cross Country S","FIN","10km","W","Silver"
"265",1952,"Oslo","Skiing","Cross Country S","FIN","18km","M","Bronze"
"266",1952,"Oslo","Skiing","Cross Country S","FIN","18km","M","Silver"
"267",1952,"Oslo","Skiing","Cross Country S","FIN","4x10km relay","M","Gold"
"268",1952,"Oslo","Skiing","Cross Country S","FIN","50km","M","Gold"
"269",1952,"Oslo","Skiing","Cross Country S","FIN","50km","M","Silver"
"270",1952,"Oslo","Skiing","Nordic Combined","FIN","individual","M","Silver"
"271",1952,"Oslo","Skating","Figure skating","FRA","individual","W","Bronze"
"272",1952,"Oslo","Bobsleigh","Bobsleigh","FRG","four-man","M","Gold"
"273",1952,"Oslo","Bobsleigh","Bobsleigh","FRG","two-man","M","Gold"
"274",1952,"Oslo","Skating","Figure skating","GBR","individual","W","Gold"
"275",1952,"Oslo","Skating","Figure skating","GER","pairs","X","Gold"
"276",1952,"Oslo","Skiing","Alpine Skiing","GER","downhill","W","Silver"
"277",1952,"Oslo","Skiing","Alpine Skiing","GER","giant slalom","W","Bronze"
"278",1952,"Oslo","Skiing","Alpine Skiing","GER","slalom","W","Bronze"
"279",1952,"Oslo","Skiing","Alpine Skiing","GER","slalom","W","Silver"
"280",1952,"Oslo","Skating","Figure skating","HUN","pairs","X","Bronze"
"281",1952,"Oslo","Skiing","Alpine Skiing","ITA","downhill","M","Gold"
"282",1952,"Oslo","Skiing","Alpine Skiing","ITA","downhill","W","Bronze"
"283",1952,"Oslo","Skating","Speed skating","NED","10000m","M","Silver"
"284",1952,"Oslo","Skating","Speed skating","NED","1500m","M","Silver"
"285",1952,"Oslo","Skating","Speed skating","NED","5000m","M","Silver"
"286",1952,"Oslo","Skating","Speed skating","NOR","10000m","M","Gold"
"287",1952,"Oslo","Skating","Speed skating","NOR","1500m","M","Bronze"
"288",1952,"Oslo","Skating","Speed skating","NOR","1500m","M","Gold"
"289",1952,"Oslo","Skating","Speed skating","NOR","5000m","M","Bronze"
"290",1952,"Oslo","Skating","Speed skating","NOR","5000m","M","Gold"
"291",1952,"Oslo","Skating","Speed skating","NOR","500m","M","Bronze"
"292",1952,"Oslo","Skiing","Alpine Skiing","NOR","giant slalom","M","Gold"
"293",1952,"Oslo","Skiing","Alpine Skiing","NOR","slalom","M","Bronze"
"294",1952,"Oslo","Skiing","Alpine Skiing","NOR","slalom","M","Silver"
"295",1952,"Oslo","Skiing","Cross Country S","NOR","18km","M","Gold"
"296",1952,"Oslo","Skiing","Cross Country S","NOR","4x10km relay","M","Silver"
"297",1952,"Oslo","Skiing","Cross Country S","NOR","50km","M","Bronze"
"298",1952,"Oslo","Skiing","Nordic Combined","NOR","individual","M","Bronze"
"299",1952,"Oslo","Skiing","Nordic Combined","NOR","individual","M","Gold"
"300",1952,"Oslo","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Gold"
"301",1952,"Oslo","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Silver"
"302",1952,"Oslo","Bobsleigh","Bobsleigh","SUI","four-man","M","Bronze"
"303",1952,"Oslo","Bobsleigh","Bobsleigh","SUI","two-man","M","Bronze"
"304",1952,"Oslo","Ice Hockey","Ice Hockey","SWE","ice hockey","M","Bronze"
"305",1952,"Oslo","Skating","Speed skating","SWE","10000m","M","Bronze"
"306",1952,"Oslo","Skiing","Cross Country S","SWE","4x10km relay","M","Bronze"
"307",1952,"Oslo","Skiing","Ski Jumping","SWE","K90 individual (70m)","M","Bronze"
"308",1952,"Oslo","Bobsleigh","Bobsleigh","USA","four-man","M","Silver"
"309",1952,"Oslo","Bobsleigh","Bobsleigh","USA","two-man","M","Silver"
"310",1952,"Oslo","Ice Hockey","Ice Hockey","USA","ice hockey","M","Silver"
